frame,insertion_mm,phase,friction_mu,tip_x_mm,tip_y_mm,tip_z_mm,plane_x_measured_mm,plane_y_measured_mm,plane_z_measured_mm,true_contact_s_mm,estimated_contact_s_mm,true_contact_Fx_N,true_contact_Fy_N,true_contact_Fz_N,ours_contact_Fx_N,ours_contact_Fy_N,ours_contact_Fz_N,true_tip_Fx_N,true_tip_Fy_N,true_tip_Fz_N,ours_tip_Fx_N,ours_tip_Fy_N,ours_tip_Fz_N,seed_contact_s_mm,seed_contact_Fx_N,seed_contact_Fy_N,seed_contact_Fz_N,seed_tip_Fx_N,seed_tip_Fy_N,seed_tip_Fz_N,true_total_Fx_N,true_total_Fy_N,true_total_Fz_N,ours_total_Fx_N,ours_total_Fy_N,ours_total_Fz_N,aloi_total_Fx_N,aloi_total_Fy_N,aloi_total_Fz_N,aloi_center_s_mm,aloi_sigma_mm,aloi_shape_rmse_mm,aloi_contact_location_error_mm,ours_contact_error_norm_N,ours_tip_error_norm_N,ours_total_error_norm_N,aloi_total_error_norm_N,ours_gap_mm,ours_friction_cone_slack_N,ours_normal_complementarity,ours_friction_complementarity,ours_cone_complementarity,ours_measurement_residual_norm,ours_shape_rmse_mm,seed_measurement_residual_norm,seed_normal_complementarity,seed_friction_complementarity,seed_cone_complementarity,seed_merit,final_merit,initialization_name,initialization_merit,initialization_residual_norm
1,0,push,0,9.97669499428333,0,41.9455499667583,20,0,0,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,150,-0.00122855152062446,0,0,-0.00121184395110146,0,-0.000333157865840522,0,0,0,0,0,0,0,0,0,0,3,0,NaN,0,0,0,0,10.0233050057167,0,0,0,0,0,0.00166891517003077,0.0107035012357135,0.0123163209520504,0,0,18.7642021085777,0,prior,0,0
2,5,push,0,14.9766949942833,0,41.9455499667583,20,0,0,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,150,-0.00122855152062446,0,0,-0.00121184395110146,0,-0.000333157865840522,0,0,0,0,0,0,0,0,0,0,3,0,NaN,0,0,0,0,5.02330500571669,0,0,0,0,0,0.00166891517002955,0.0107035012357135,0.0061735633489281,0,0,7.40631434036129,0,prior,0,0
3,10,push,0,19.9766949942833,0,41.9455499667583,20,0,0,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,150,-0.00122855152062446,0,0,-0.00121184395110146,0,-0.000333157865840525,0,0,0,0,0,0,0,0,0,0,3,0,NaN,0,0,0,0,0.0233050057166793,0,0,0,0,0,0.00166891517003684,0.0107035012357135,3.08057458057642e-05,0,0,3.5951207909765,0,prior,0,0
4,15,push,0,19.8003435397598,0,50.5004539158233,20,0,0,146.247719298246,146.247719298246,-4.74819538006306,0,0,-4.77686256257972,5.37406200739777e-06,-8.40185567934579e-05,0,0,0,0.0455496658490472,5.06666180347303e-05,0.0034978506973083,147.855839598997,-2.9097850599426,0,0,-0.433465471239991,0,0.483555035202084,-4.74819538006306,0,0,-4.73131289673067,5.60406800421281e-05,0.00341383214051484,-4.4839109914665,4.02300599112553e-12,0.415795144627518,150,3.00000000000002,0.0246645774022578,3.75228070175439,0.0286673061420475,0.0456838000342211,0.0172242745539485,0.492678232065996,2.12178365155413e-16,0,1.01354688925768e-15,0,0,0.0203220393381822,0.0029585224147749,3.25563846870886,1.35933302857831,0,0,287154.655840767,0.0113290006784372,reduced_seed,5.31559157105799,3.25616212804659
5,20,push,0,19.1025542786984,0,58.5409109765682,20,0,0,141.959398496241,142.495438596491,-9.07761944468679,0,0,-8.95053575870691,0.00137677113225254,0.00281190994118681,0,0,0,-0.00702963450199885,-0.00172230138253727,0.0307386139956159,143.031478696742,-8.16228024746142,0,0,-0.0588014734381374,2.88061690430965e-05,0.130691524726998,-9.07761944468679,0,0,-8.95756539320891,-0.000345530250284733,0.0335505239368027,-8.68467832668103,9.60879168632846e-63,1.11780436009061,147.84495860961,3.45437087449969,0.0246766992252364,5.88556011336939,0.127122246591617,0.0315791778495808,0.124654451680799,1.18485835003903,1.42247325030098e-16,0,1.27318984715462e-15,0,0,0.12619237030041,0.00921003122473942,2.82701168240146,4.07326611257942,0,0,1827126.03105755,0.0450086860149856,reduced_seed,4.02861516802864,2.82769981500986
6,25,push,0,18.0586872668573,0,65.8525159512566,20,0,0,138.743157894737,138.743157894737,-12.8049063151247,0,0,-12.8189678764449,6.8091044844944e-05,0.000130495432311767,0,0,0,0.0362845747624325,-4.61608117253414e-05,0.0066887729188203,139.279197994987,-11.9688178123067,0,0,-0.0644500053245233,-0.00128198156880654,0.0913696693491801,-12.8049063151247,0,0,-12.7826833016824,2.19302331196026e-05,0.00681926835113207,-12.1488175606562,4.49682578892388e-90,2.32839456005489,144.74912877565,3.76694697975089,0.0480693479128749,6.00597088091354,0.0140623316775726,0.0368959642734898,0.0232457572092923,2.41906462936261,1.70783526209917e-15,0,2.18926853645522e-14,0,0,0.0287821061192836,0.00182253353935875,3.26643379658459,7.26365139964784,0,0,5507787.7688184,0.0286760140907516,reduced_seed,5.36914143022134,3.26731457182002
7,30,push,0,16.7750558979883,0,72.4472524204744,20,0,0,135.526917293233,135.526917293233,-16.2368559020319,0,0,-16.2542433169059,4.56590819181328e-06,-3.15403205312732e-05,0,0,0,0.0380118492517835,-4.05893989993211e-06,0.00722583524604043,136.062957393484,-15.3924962495997,0,0,-0.00871224992462901,-3.85591758765735e-05,0.0483604714186903,-16.2368559020319,0,0,-16.2162314676541,5.06968291881174e-07,0.00719429492550915,-15.0620080958659,-8.07916208108059e-27,3.87893130117679,141.990387556536,3.00000000000838,0.076051527246655,6.46347026330304,0.0173874440801287,0.0386925496060705,0.0218431951219631,4.05294650925745,-5.35392585300498e-16,0,8.70240135155833e-15,0,0,0.0295404690032589,0.00184242795213261,4.13630307034982,12.2332560941704,0,0,15344086.5153684,0.0258770117952575,reduced_seed,8.59658571275684,4.1374959072984
8,35,push,0,15.3216634439475,0,78.3633764707594,20,0,0,132.310676691729,132.310676691729,-19.5037517853747,0,0,-19.5204066781743,-0.000619649404646931,-0.000154922858702953,0,0,0,0.0338469206285078,0.000704590825517631,0.00777725624132732,133.382756892231,-18.3753583961933,0,0,0.00144063807600654,-3.59594479043032e-06,0.0380511707729051,-19.5037517853747,0,0,-19.4865597575458,8.49414208706998e-05,0.00762233338262437,-17.3498011121246,-6.22964979402485e-63,5.75129605646765,141.018609300679,6.71173093631068,0.109249277043066,8.70793260894936,0.0166671359459353,0.0347360936045948,0.0188061958437539,6.1414094336671,2.07082614944731e-16,0,4.04233686186488e-15,0,0,0.0263921879117589,0.00175112527263991,5.00007259622865,17.6521866302227,0,0,31684446.7615598,0.0263964922046628,reduced_seed,12.5478635401415,5.00151430153683
9,40,push,0,13.7163323988037,0,83.6144748979887,20,0,0,129.630476190476,129.630476190476,-22.4753420098656,0,0,-22.4759548967322,-3.48401389098458e-05,0.000194885666244432,0,0,0,0.0138778943119363,1.63957305426351e-05,0.00578869832616968,130.702556390977,-21.2564820351964,0,0,0.00329847718330987,0.00064579593288552,0.0302584660807834,-22.4753420098656,0,0,-22.4620770024202,-1.84444083672107e-05,0.00598358399241412,-19.4087997523828,8.59832578053308e-50,7.7719648471689,137.76637259361,3.00192596139809,0.138707579401721,8.13589640313378,0.000644068761422046,0.0150367964561822,0.0145521146269274,8.35506546967506,1.10968092353891e-15,0,2.49411383881923e-14,0,0,0.0246812465240616,0.00249521685338017,5.57970088481517,23.2840240963034,0,0,54823347.2776327,0.0186104444529869,reduced_seed,15.6198810831267,5.58138064408125
10,45,push,0,11.9941405143892,0,88.282660098441,20,0,0,126.950275689223,126.950275689223,-25.4095119733235,0,0,-25.4189666829166,-6.95020362297669e-05,0.000148945849710691,0,0,0,0.0173338740746126,7.68726666056172e-05,0.00370936609775767,128.022355889724,-24.0227780983864,0,0,-0.0142778494528752,1.53525260328174e-05,0.0235824103655925,-25.4095119733235,0,0,-25.401632808842,7.37063037585032e-06,0.00385831194746836,-20.9747747921481,-3.33249032470818e-15,10.0448257277677,135.686148981465,3.00493643327149,0.170693460406587,8.73587329224216,0.0094561381594141,0.0177264913812235,0.00877313275496049,10.9802284934023,9.4580376516773e-16,0,2.40413543958782e-14,0,0,0.0184373900998488,0.0025673427657927,6.5465043068613,31.2545509327579,0,0,98452038.0703949,0.0184720393156968,reduced_seed,21.5014742331801,6.54852403841539
