source_frame,motion_mm,true_Fx_N,true_Fy_N,true_Fz_N,aloi_Fx_N,aloi_Fy_N,aloi_Fz_N,force_error_N,true_local_axial_fraction_pct,within_transverse_load_assumption,center_mm,sigma_mm,shape_rmse_mm,equilibrium_residual_mm
1,0,0,0,0,0,0,0,0,NaN,0,0,3,0,0
2,10,0,0,-0.521073807420656,0.511912077857026,3.85712504941102e-44,-0.514908894658408,0.511949198266062,99.8482160090577,0,146.174140119819,34.9999999999992,0.000271853149160906,3.69108944076195e-05
3,20,0,0,-2.98698058250646,2.88733084143531,3.64254493149264e-44,-3.08603247418355,2.88902936384322,98.5633396339552,0,149.999999999958,31.5084260920789,0.00229755542406223,3.93239468722275e-05
4,30,0,0,-5.19998844786754,4.88765871044945,7.29537570993799e-61,-5.61141604735217,4.90494447873266,96.0450559644026,0,149.999999999999,26.9594431675478,0.00485591204308355,4.91104238263706e-05
5,40,0,0,-7.26403468030589,6.56703931639574,8.35720732838411e-70,-8.17430121609565,6.62982583099029,92.372561552506,0,150,23.1186709257955,0.00708689534170746,4.81291727325867e-05
6,40.02,-0.237493217879506,-9.15933995315754e-16,-7.30038230108719,6.46638352841961,-1.25799870594581e-15,-8.2405441655584,6.76948061234952,93.6000292298073,0,149.999999999996,23.7731239812155,0.00657822883418493,4.73977773795384e-05
7,45.02,-3.96483643745265,0,-7.92967287490529,4.63953470671965,-9.16246474936721e-63,-9.21732611257476,8.70018698920578,99.6286614963372,0,125.406631543582,15.8131846928816,0.004942389528524,3.59102647920418e-05
8,50.02,-3.96483643745264,0,-7.92967287490529,4.6395344851722,4.02934930251035e-63,-9.21732591694197,8.70018674114402,99.6286614963372,0,125.406627200595,15.8131740365284,0.00494238952851799,3.59102633465315e-05
9,55,-3.96483643745264,0,-7.92967287490529,4.6395344851722,4.02934930251035e-63,-9.21732591694197,8.70018674114402,99.6286614963372,0,125.406627200595,15.8131740365284,0.00494238952851373,3.59102633473373e-05
10,60,-3.96483643745264,0,-7.92967287490529,4.63953448602776,-2.94716211373962e-63,-9.21732591746195,8.70018674206711,99.6286614963372,0,125.406627214679,15.8131740680983,0.00494238952851685,3.59102633897944e-05
