frame,insertion_mm,phase,friction_mu,tip_x_mm,tip_y_mm,tip_z_mm,plane_x_measured_mm,plane_y_measured_mm,plane_z_measured_mm,true_contact_s_mm,estimated_contact_s_mm,true_contact_Fx_N,true_contact_Fy_N,true_contact_Fz_N,ours_contact_Fx_N,ours_contact_Fy_N,ours_contact_Fz_N,true_tip_Fx_N,true_tip_Fy_N,true_tip_Fz_N,ours_tip_Fx_N,ours_tip_Fy_N,ours_tip_Fz_N,seed_contact_s_mm,seed_contact_Fx_N,seed_contact_Fy_N,seed_contact_Fz_N,seed_tip_Fx_N,seed_tip_Fy_N,seed_tip_Fz_N,true_total_Fx_N,true_total_Fy_N,true_total_Fz_N,ours_total_Fx_N,ours_total_Fy_N,ours_total_Fz_N,aloi_total_Fx_N,aloi_total_Fy_N,aloi_total_Fz_N,aloi_center_s_mm,aloi_sigma_mm,aloi_shape_rmse_mm,aloi_contact_location_error_mm,ours_contact_error_norm_N,ours_tip_error_norm_N,ours_total_error_norm_N,aloi_total_error_norm_N,ours_gap_mm,ours_friction_cone_slack_N,ours_normal_complementarity,ours_friction_complementarity,ours_cone_complementarity,ours_measurement_residual_norm,ours_shape_rmse_mm,seed_measurement_residual_norm,seed_normal_complementarity,seed_friction_complementarity,seed_cone_complementarity,seed_merit,final_merit,initialization_name,initialization_merit,initialization_residual_norm
1,0,push,0,9.97669499428333,0,41.9455499667583,0,0,50,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,-0.000249965434938605,-0.0017047601698634,0,0.000225397639356152,0,0,0,0,0,0,0,0,0,0,3,0,NaN,0,0,0,0,8.05445003324174,0,0,0,0,0,0.00166891517003077,0.00960861559425695,0.0020126190708678,0,0,1.42487398666127,0,prior,0,0
2,10,push,0,10.8716117361823,0,49.9989670899819,0,0,50,150,150,0,0,-0.521073807420656,-9.98844907629823e-06,1.87180135328552e-06,-0.458231377552433,0,0,0,0.000387535156519653,2.95306457917437e-05,-0.0624960545353352,150,0,0,-0.265037549184467,0.0680129343594417,0,-0.221300368948312,0,0,-0.521073807420656,0.000377546707443355,3.14024471450292e-05,-0.520727432087768,0.522668651712113,1.167221576968e-70,-0.508497011943661,145.509057925145,34.9999999990711,0.00033549253290076,4.49094207485496,0.0628424306899029,0.062497263044394,0.000513325921049137,0.52281994536076,3.17481501158068e-16,0,1.45479985658852e-16,0,0,0.00274685436646192,0.00192445840703787,0.161813673128501,0.00385573612874206,0,0,932.131600564301,3.85944160457952e-05,reduced_seed,0.0198434865102016,0.196740439778424
3,20,push,0,14.8520341452697,0,49.9990145653129,0,0,50,150,150,0,0,-2.98698058250646,-7.85876326679303e-05,-2.2952854650307e-06,-2.94623397371426,0,0,0,5.96620167197248e-05,2.24406897745021e-06,-0.0406310801572593,150,0,0,-2.76781566387592,0.0329794671450629,9.66309845057821e-06,-0.164992026080184,0,0,-2.98698058250646,-1.89256159482055e-05,-5.12164875804939e-08,-2.98686505387152,3.26759100120034,-1.6434747364659e-13,-2.86592459922753,149.99999999997,33.795692539141,0.00427111317775227,3.02975422528107e-11,0.0407466846424237,0.0406311240225731,0.000117068557067834,3.26983264131562,-2.66155370312604e-15,0,7.84155994580695e-15,0,0,0.00265957163152708,0.0019020162448359,0.52723206836926,0.483261123401027,0,0,26592.9855554232,0.000164275760143222,reduced_seed,1.0561261908167,1.44285587335169
4,30,push,0,17.8596185021628,0,49.9990500838407,0,0,50,150,150,0,0,-5.19998844786754,-0.000131393185166587,1.00319542290357e-05,-5.12444597037162,0,0,0,0.000180284098662022,-1.31501284316565e-05,-0.0754308378147298,150,0,0,-5.07814138920783,0.00706857900832338,1.36641367110665e-06,-0.0694978098283222,0,0,-5.19998844786754,4.8890913495435e-05,-3.11817420262081e-06,-5.19987680818635,6.082610829979,-5.84940417794481e-40,-4.88741516982378,149.999999999974,30.9763233763143,0.011979211469068,2.59490207099589e-11,0.0755425924299095,0.075431054405425,0.000121915802298224,6.09063679454988,-1.27762384005692e-15,0,6.54711434099508e-15,0,0,0.00412154968409892,0.0017673460614272,0.636504610003119,1.12350719759539,0,0,131465.886160957,0.000140388461664106,reduced_seed,1.67497596869052,1.81700782227884
5,40,push,0,19.9564730467599,0,49.9990762957566,0,0,50,150,150,0,0,-7.26403468030589,-0.000166879514129852,-0.000107623205358178,-7.15680932476149,0,0,0,0.000464071628883416,4.45407937521492e-05,-0.107057498332091,150,0,0,-7.0759328424607,0.00418875853339531,-9.98649213276073e-06,-0.100960252237104,0,0,-7.26403468030589,0.000297192114753564,-6.3082411606029e-05,-7.26386682309358,8.95476004479279,3.94794713212354e-49,-6.6852221784128,149.999999999995,28.7886823810615,0.0226937562716607,4.63273863715585e-12,0.107225539416458,0.107058513418993,0.00034710025562004,8.97344701729303,1.18373193191967e-15,0,8.47174373164163e-15,0,0,0.00322532128303373,0.00178851990592944,1.11396034948945,2.81721404248884,0,0,810417.084945065,0.00011811780723624,reduced_seed,5.3883689985204,3.2589162167928
6,40.02,slide,0.5,19.9565255390859,-4.52511323330364e-15,49.9991154234838,0,0,50,150,150,-0.237493217879506,-9.15933995315754e-16,-7.30038230108719,-0.236561855528053,-0.0018075936973411,-7.18196458586538,0,0,0,-0.00016302660840166,0.00180759132487846,-0.118157793102965,150,-0.107999108000797,-4.39442260514878e-05,-7.17147278394554,-0.000207865646539123,4.4397302401729e-05,-0.10747254730341,-0.237493217879506,-9.15933995315754e-16,-7.30038230108719,-0.236724882136454,-2.37246263476779e-09,-7.30012237896835,8.8864278692137,-8.20653050996309e-07,-6.77134103159064,149.999999072479,29.3818226134486,0.0212874884528206,9.27520858340358e-07,0.11843517260154,0.118171731116354,0.000811109932079996,9.13924617615344,3.45860493022876e-15,3.08356070871393,2.48396071391322e-14,1.9871870902009e-11,0,0.00346720520885808,0.0017110043165895,0.22516703405011,0.0213875061024849,0.185810024787516,11.902419689135,14170258.6429357,1.89226685537223e-05,reduced_seed,0.244713643890039,0.575276349155649
7,45.02,slide,0.5,24.6165529420434,-1.2568272345427e-117,50,0,0,50,150,150,-3.96483643745265,0,-7.92967287490529,4.10081535747745,3.44216670313261,-17.9579856701551,0,0,0,-8.12659968068301,-3.43955607742528,10.0195590202664,150,-2.00295099243542,-0.00172671393038773,-7.46267607518753,-0.0106799166199629,0.00178828927254601,-0.125354418163457,-3.96483643745265,0,-7.92967287490529,-4.02578432320556,0.00261062570732351,-7.93842664988878,7.62001594356032,-8.21791958551748e-44,-8.26533708756334,129.78588869647,27.8947802947227,0.00163097126483496,20.2141113035303,13.3217982272885,13.351544155656,0.0616286355584391,11.5897141963692,8.60422844084496e-16,0.0470644422065778,1.54511193951066e-14,4.00465999321817e-10,0,0.339706074313602,0.0268744492220776,3.48478414220297,0.894526521313901,1.03142934389955,1.38756393208277,380378.661114196,0.467671179834416,reduced_seed,46.6695832910424,9.63600766151678
8,50.02,slide,0.5,29.6165529420433,-2.1327019289646e-227,50,0,0,50,150,150,-3.96483643745264,0,-7.92967287490529,4.10081535747745,3.44216670313261,-17.9579856701551,0,0,0,-8.12659968068301,-3.43955607742528,10.0195590202664,150,4.14278966325692,3.43950136331063,-17.952127097501,-8.12651889350034,-3.43954301945388,10.0196763434377,-3.96483643745264,0,-7.92967287490529,-4.02578432320556,0.00261062570732351,-7.93842664988878,7.62001551103599,-1.69813155507083e-53,-8.26533649479187,129.785860938033,27.8947527538429,0.00163097126460786,20.2141390619666,13.3217982272884,13.351544155656,0.0616286355584432,11.5897137468583,2.38004060904018e-15,0.0470644422065778,4.27397899396901e-14,4.00528896797307e-10,0,0.326634473408052,0.0268744492220772,0.0335440474507248,0.0227542981100389,0.186357628117996,0.00196547929717139,3525.24110963339,0.0533467902205077,prior,0.0533467902205077,0.326634473408052
9,55,slide,0.5,34.5965529420434,0,50,0,0,50,150,150,-3.96483643745264,0,-7.92967287490529,4.10081535747745,3.44216670313261,-17.9579856701551,0,0,0,-8.12659968068301,-3.43955607742528,10.0195590202664,150,4.14278966325693,3.43950136331063,-17.952127097501,-8.12651889350034,-3.43954301945388,10.0196763434377,-3.96483643745264,0,-7.92967287490529,-4.02578432320556,0.00261062570732351,-7.93842664988878,7.62001550368394,7.26103523206517e-54,-8.26533648464478,129.785860465596,27.8947522847462,0.00163097126460207,20.2141395344035,13.3217982272884,13.351544155656,0.0616286355584433,11.5897137392155,-2.62290189567693e-15,0.0470644422065778,4.71009929947605e-14,4.00505298922546e-10,0,0.314724250098989,0.0268744492220736,0.0335440474506879,0.0227542981099113,0.186357628118104,0.00196547929717265,3525.24061047471,0.0495274203619771,prior,0.0495274203619771,0.314724250098989
10,60,slide,0.5,39.5965529420434,0,50,0,0,50,150,150,-3.96483643745264,0,-7.92967287490529,4.10081535747745,3.44216670313261,-17.9579856701551,0,0,0,-8.12659968068301,-3.43955607742528,10.0195590202664,150,4.14278966325693,3.43950136331063,-17.952127097501,-8.12651889350034,-3.43954301945388,10.0196763434377,-3.96483643745264,0,-7.92967287490529,-4.02578432320556,0.00261062570732351,-7.93842664988878,7.62001550368394,7.26103523206517e-54,-8.26533648464478,129.785860465596,27.8947522847462,0.00163097126460201,20.2141395344035,13.3217982272884,13.351544155656,0.0616286355584433,11.5897137392155,-1.11716191852906e-15,0.0470644422065778,2.00615340533239e-14,4.00631128802413e-10,0,0.304010994612263,0.0268744492220725,0.0335440474506893,0.0227542981099113,0.186357628118091,0.00196547929717202,3525.24105469446,0.0462130930339094,prior,0.0462130930339094,0.304010994612263
