frame,insertion_mm,phase,friction_mu,tip_x_mm,tip_y_mm,tip_z_mm,plane_x_measured_mm,plane_y_measured_mm,plane_z_measured_mm,true_contact_s_mm,estimated_contact_s_mm,true_contact_Fx_N,true_contact_Fy_N,true_contact_Fz_N,true_normal_Fx_N,true_normal_Fy_N,true_normal_Fz_N,true_friction_Fx_N,true_friction_Fy_N,true_friction_Fz_N,forward_friction_cone_slack_N,forward_friction_w_min_mm,forward_friction_complementarity,forward_friction_dissipation_Nmm,forward_friction_cone_violation_N,forward_tangential_displacement_mm,forward_friction_direction_violation_Nmm,ours_contact_Fx_N,ours_contact_Fy_N,ours_contact_Fz_N,ours_normal_Fx_N,ours_normal_Fy_N,ours_normal_Fz_N,ours_friction_Fx_N,ours_friction_Fy_N,ours_friction_Fz_N,ours_friction_w_min_mm,ours_friction_cone_violation_N,true_tip_Fx_N,true_tip_Fy_N,true_tip_Fz_N,ours_tip_Fx_N,ours_tip_Fy_N,ours_tip_Fz_N,seed_contact_s_mm,seed_contact_Fx_N,seed_contact_Fy_N,seed_contact_Fz_N,seed_tip_Fx_N,seed_tip_Fy_N,seed_tip_Fz_N,true_total_Fx_N,true_total_Fy_N,true_total_Fz_N,ours_total_Fx_N,ours_total_Fy_N,ours_total_Fz_N,aloi_total_Fx_N,aloi_total_Fy_N,aloi_total_Fz_N,aloi_center_s_mm,aloi_sigma_mm,aloi_shape_rmse_mm,aloi_equilibrium_residual_mm,aloi_solver_exit_flag,aloi_solver_iterations,aloi_contact_location_error_mm,true_contact_local_Fx_N,true_contact_local_Fy_N,true_contact_local_Fz_axial_N,true_contact_local_axial_fraction_pct,aloi_within_transverse_load_assumption,ours_contact_error_norm_N,ours_tip_error_norm_N,ours_total_error_norm_N,aloi_total_error_norm_N,ours_gap_mm,ours_friction_cone_slack_N,ours_normal_complementarity,ours_friction_complementarity,ours_cone_complementarity,ours_measurement_residual_norm,ours_shape_rmse_mm,seed_measurement_residual_norm,seed_normal_complementarity,seed_friction_complementarity,seed_cone_complementarity,seed_merit,final_merit,initialization_name,initialization_merit,initialization_residual_norm
1,0,push,0,9.97669499428333,0,41.9455499667583,0,0,50,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,-0.000249965434938605,-0.0017047601698634,0,0.000225397639356152,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,8.05445003324174,0,0,0,0,0,0.00166891517003077,0.00960861559425695,0.0020126190708678,0,0,1.42487398666127,0,prior,0,0
2,10,push,0,10.8716117361823,0,49.9989670899819,0,0,50,150,150,0,0,-0.521073807420656,0,0,-0.521073807420656,0,0,0,0,0,0,0,0,0.0447270334983108,0,-1.36581171305656e-05,6.0964089687745e-09,-0.519447214369057,-1.36581171305656e-05,6.0964089687745e-09,-0.519447214369057,0,0,0,0,0,0,0,0,-3.05871037146882e-05,-1.989144348417e-08,-0.00147431733509096,150,0,0,-0.265037549184467,0.0680129343594417,0,-0.221300368948312,0,0,-0.521073807420656,-4.42452208452538e-05,-1.37950345153955e-08,-0.520921531704148,0.511912077857026,3.85712504941102e-44,-0.514908894658408,146.174140119819,34.9999999999992,0.000271853149160906,3.69108944076195e-05,3,16,3.82585988018079,-0.0286987092915166,0,-0.520282900799997,99.8482160090577,0,0.00162665039258879,0.00147463459062204,0.000158573432818482,0.511949198266062,3.50815296951135e-15,0,1.82230028822313e-15,0,0,0.00251676570872809,0.00193091969825607,0.161813673128501,0.00385573612874206,0,0,932.131600564301,1.21057007687096e-05,reduced_seed,0.0198434865102016,0.196740439778424
3,20,push,0,14.8520341452697,0,49.9990145653129,0,0,50,150,150,0,0,-2.98698058250646,0,0,-2.98698058250646,0,0,0,0,0,0,0,0,0.0346943865769029,0,-8.05792110286239e-05,-3.11471291182118e-06,-2.99932989399252,-8.05792110286239e-05,-3.11471291182118e-06,-2.99932989399252,0,0,0,0,0,0,0,0,0.000103472410997313,2.59204669401869e-06,0.0124808372664615,150,0,0,-2.82897847665286,0.0325812350666649,-6.50893238390968e-09,-0.103967797038555,0,0,-2.98698058250646,2.2893199968689e-05,-5.22666217802495e-07,-2.98684905672606,2.88733084143531,3.64254493149264e-44,-3.08603247418355,149.999999999958,31.5084260920789,0.00229755542406223,3.93239468722275e-05,3,20,4.19504431192763e-11,-0.504497465885023,0,-2.94406781633614,98.5633396339552,0,0.0123495747655676,0.0124812664473778,0.000133504317143058,2.88902936384322,1.46746764045913e-15,0,4.40141956408651e-15,0,0,0.00265254410874348,0.00189854149909527,0.527082912623595,0.493927478322732,0,0,27635.9339667403,0.000162737917321915,reduced_seed,1.05599493196024,1.44276927333966
4,30,push,0,17.8596185021628,0,49.9990500838407,0,0,50,150,150,0,0,-5.19998844786754,0,0,-5.19998844786754,0,0,0,0,0,0,0,0,0.0253904837191614,0,-0.000132263584700525,-3.85335855527411e-07,-5.21159513255493,-0.000132263584700525,-3.85335855527411e-07,-5.21159513255493,0,0,0,0,0,0,0,0,0.000112848752110581,4.40894853568156e-07,0.0117013886926216,150,0,0,-5.13124232023262,0.00711181593544887,1.5782973136941e-06,-0.0163859602828235,0,0,-5.19998844786754,-1.94148325899443e-05,5.55589980407448e-08,-5.19989374386231,4.88765871044945,7.29537570993799e-61,-5.61141604735217,149.999999999999,26.9594431675478,0.00485591204308355,4.91104238263706e-05,3,29,8.81072992342524e-13,-1.44793977107647,0,-4.99433181489685,96.0450559644026,0,0.0116074382719337,0.0117019328476561,9.66736128358163e-05,4.90494447873266,-7.88919710809077e-16,0,4.11153012615332e-15,0,0,0.00216495945292733,0.00176817299185846,0.636510852457081,1.13525815145881,0,0,134120.07473075,0.000127303296154208,reduced_seed,1.67498476561604,1.81701380459138
5,40,push,0,19.9564730467599,0,49.9990762957566,0,0,50,150,150,0,0,-7.26403468030589,0,0,-7.26403468030589,0,0,0,0,0,0,0,0,0.0165878120874803,0,-0.000175427542155176,4.02089129511596e-08,-7.26743279695896,-0.000175427542155176,4.02089129511596e-08,-7.26743279695896,0,0,0,0,0,0,0,0,0.000160060873601949,-9.47242820911683e-07,0.00348015472240222,150,0,0,-7.16307614308994,0.00412169448578266,3.34825093870086e-07,-0.0138279490485644,0,0,-7.26403468030589,-1.53666685532278e-05,-9.07033907960523e-07,-7.26395264223656,6.56703931639574,8.35720732838411e-70,-8.17430121609565,150,23.1186709257955,0.00708689534170746,4.81291727325867e-05,3,31,2.8421709430404e-14,-2.78252342201018,0,-6.70997490626095,92.372561552506,0,0.00340264185773342,0.00348383370331961,8.34697671831656e-05,6.62982583099029,-1.83105483900214e-15,0,1.33070679938715e-14,0,0,0.0018613083066728,0.00185859020913803,1.11395233938356,2.85190082597417,0,0,830081.539012806,0.00011027350735215,reduced_seed,5.38831736732172,3.25890492422429
6,40.02,slide,0.5,19.9565255390859,-5.19797821651843e-16,49.9991154234838,0,0,50,150,150,-0.237493217879551,-1.05212946283427e-16,-7.3003823010872,0,0,-7.3003823010872,-0.237493217879551,-1.05212946283427e-16,0,1.33226762955019e-15,0,6.0141138314694e-15,-2.10936350945757e-16,0,1.02682086248424e-15,0,-0.237588467835318,-0.000177061233951009,-7.28586302462518,-0.000173577543056828,-2.91890944016893e-05,-7.2858686813576,-0.237414890292261,-0.000147872139549319,5.65673242249517e-06,-5.86960963934455e-13,0,0,0,0,0.000135609568572215,0.000177061550445873,-0.0144368162158367,150,-0.107872068414683,9.34555699241932e-07,-7.28204298184759,-0.000511017964921697,-9.44191210497888e-07,0.00306611246418057,-0.237493217879551,-1.05212946283427e-16,-7.3003823010872,-0.237452858266746,3.16494864360415e-10,-7.30029984084101,6.4663835493443,-1.44604446775208e-16,-8.24054415474173,149.999999999999,23.7731238487992,0.00657822883418091,4.73977775277587e-05,3,13,1.36424205265939e-12,-2.57108831582312,1.18975581215253e-16,-6.83677479830979,93.6000292298075,0,0.014520668449324,0.0144385388179546,9.180735562206e-05,6.76948063156922,1.26721549920106e-15,3.17988278224068,9.23276572085417e-15,5.97938424856066e-14,0,0.00178660861548748,0.00187607973665259,0.22485784779357,0.0216003422546861,0.188583072511889,12.2881367949549,15103434.5128721,5.86200746889978e-06,reduced_seed,0.244392290163574,0.574482316813405
7,45.02,slide,0.5,24.6165529420434,-3.26393102204537e-15,50,0,0,50,150,150,-3.96483643745265,-4.85552425226918e-16,-7.92967287490529,0,0,-7.92967287490529,-3.96483643745265,-4.85552425226918e-16,0,0,0,2.05649055909075e-14,-0.0792967287490407,0,0.0199999999999969,0,-0.112716162872753,-7.97178976197655e-06,-0.225277158474182,-6.20668521106434e-05,-7.97288792899232e-06,-0.225308191900217,-0.112654096020642,1.09816701577379e-09,3.10334260358915e-05,0,0,0,0,0,-3.8472320088172,-0.000797983782499598,-7.70287955843822,150,-1.99062350300224,-0.000868315878604264,-7.56439559666045,-0.0104576530018529,0.000342035055161814,-0.0216248729201773,-3.96483643745265,-4.85552425226918e-16,-7.92967287490529,-3.95994817168995,-0.000805955572261574,-7.92815671691241,4.63953445976134,-8.83777675826377e-16,-9.21732585709156,125.406626357779,15.8131715674453,0.00494238952851698,3.59102632150398e-05,0,36,24.5933736422212,0.763320132599313,7.56527188501779e-16,-8.8327222448082,99.6286614963372,0,8.61374157757563,8.61020024495663,0.00518106568291021,8.70018670715498,-2.09467859724199e-15,0,4.71948265559456e-16,2.20591188174225e-07,0,0.0221811718771299,0.0023437463560112,3.50689157398264,0.906031467990524,1.08551756647039,1.53332910488219,436474.728648455,0.129812604644345,measurement_init,17500.9309593532,186.538583639506
8,50.02,slide,0.5,29.6165529420433,-3.26393102204537e-15,50,0,0,50,150,150,-3.96483643745264,-4.85552425226917e-16,-7.92967287490529,0,0,-7.92967287490529,-3.96483643745264,-4.85552425226917e-16,0,3.5527136788005e-15,0,1.84190023988128e-14,-0.0792967287490441,0,0.0199999999999978,0,-0.112674164098148,-9.97058437157559e-08,-0.225345721443124,-1.04270126038205e-06,-9.97060743773131e-08,-0.225346242793754,-0.112673121396888,2.3066155721503e-13,5.21350630190972e-07,0,0,0,0,0,-3.85200501018339,-4.79511412458922e-06,-7.70433287419346,150,-0.110648639577422,0.000785146588043209,-0.225031450371561,-3.84728757037246,-0.000794921464499108,-7.70287058549621,-3.96483643745264,-4.85552425226917e-16,-7.92967287490529,-3.96467917428154,-4.89481996830498e-06,-7.92967859563658,4.63953445999717,-8.83777248292554e-16,-9.21732585699978,125.406626363294,15.8131715810182,0.00494238952851846,3.59102631294171e-05,3,7,24.5933736367064,0.763320132599309,7.56527188501778e-16,-8.8327222448082,99.6286614963372,0,8.61369903513178,8.61363382289258,0.000157443294599343,8.70018670737463,3.48896259105835e-16,0,7.86224611151455e-17,0,0,0.000723119574536674,0.00211965708086642,0.0150760923305484,0.000676117818440503,0.0021336016975201,0,163.587378517161,1.85957540837092e-06,prior,0.000263272292637907,0.0229299160111274
9,55,slide,0.5,34.5965529420434,-3.26393102204537e-15,50,0,0,50,150,150,-3.96483643745264,-4.85552425226917e-16,-7.92967287490529,0,0,-7.92967287490529,-3.96483643745264,-4.85552425226917e-16,0,3.10862446895044e-15,0,1.84190023988128e-14,-0.0792967287490441,0,0.0199999999999978,0,-0.11269872386729,-1.57211667268891e-10,-0.225397454085054,2.54018989445529e-09,-1.57211652581404e-10,-0.225397452814959,-0.112698726407479,-1.46874873785341e-17,-1.27009494722765e-09,0,0,0,0,0,-3.85212875613763,1.73881098493303e-07,-7.70427419844218,150,-0.111515450186094,4.72504308413352e-06,-0.224508278261169,-3.85202817709384,-4.77839462324837e-06,-7.70431960690916,-3.96483643745264,-4.85552425226917e-16,-7.92967287490529,-3.96482748000492,1.73723886826034e-07,-7.92967165252723,4.63953445872924,-8.8377732495077e-16,-9.21732585575439,125.406626338805,15.8131715209408,0.00494238952849967,3.59102631183782e-05,3,7,24.5933736611952,0.76332013259931,7.56527188501778e-16,-8.83272224480819,99.6286614963372,0,8.61364178058743,8.61363668137009,9.04213789749561e-06,8.70018670593633,-3.49564245169908e-15,0,7.8790890456481e-16,0,0,0.00045405221938973,0.00205852324494527,0.00855451705074531,0.000654660929467303,0.00214850884707574,0,155.725720871475,1.04223797863784e-07,prior,2.69435920303136e-07,0.000733934618224284
10,60,slide,0.5,39.5965529420434,-3.26393102204537e-15,50,0,0,50,150,150,-3.96483643745264,-4.85552425226917e-16,-7.92967287490529,0,0,-7.92967287490529,-3.96483643745264,-4.85552425226917e-16,0,3.10862446895044e-15,0,2.54619667215851e-14,-0.0792967287490371,0,0.019999999999996,0,-0.11269872386729,-1.57211667268891e-10,-0.225397454085054,2.54018989445529e-09,-1.57211652581404e-10,-0.225397452814959,-0.112698726407479,-1.46874873785341e-17,-1.27009494722765e-09,0,0,0,0,0,-3.85212875613763,1.73881098493303e-07,-7.70427419844218,150,-0.111602641982639,-1.71351377483512e-07,-0.224598261269046,-3.85215058305239,1.73277480375165e-07,-7.70426156863047,-3.96483643745264,-4.85552425226917e-16,-7.92967287490529,-3.96482748000492,1.73723886826034e-07,-7.92967165252723,4.63953445872924,-8.8377732495077e-16,-9.21732585575439,125.406626338805,15.8131715209408,0.0049423895285064,3.59102631202586e-05,2,8,24.5933736611952,0.76332013259931,7.56527188501778e-16,-8.83272224480819,99.6286614963372,0,8.61364178058743,8.61363668137009,9.04213789749561e-06,8.70018670593633,-1.81241439669016e-16,0,4.08513588459121e-17,0,0,0.000454062890220172,0.00205852324494996,0.00847462196022267,0.000656921264235417,0.00215034018447963,0,155.412753494769,1.03086554768357e-07,prior,1.03086554768357e-07,0.000454062890220172
