frame,path_mm,phase,mode,estimated_contact_s_mm,true_contact_s_mm,shape_rmse_mm,true_contact_x_N,estimated_contact_x_N,true_tip_x_N,estimated_tip_x_N,true_contact_y_N,estimated_contact_y_N,true_tip_y_N,estimated_tip_y_N,true_contact_z_N,estimated_contact_z_N,true_tip_z_N,estimated_tip_z_N
1,0,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.9,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5.7,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.6,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11.4,push,frictionless-contact,166.432176490453,166,0.000963706813923352,0,-0.000387488759463424,0,0.000961904515736484,0,2.52373020889859e-08,0,-7.07541338458502e-08,-1.70442040468773,-1.71034037476465,0,0.0170184208599237
6,14.3,push,frictionless-contact,163.414765178535,163,0.000725439551767297,0,-0.000636789118367944,0,0.00727914777310541,0,-1.48110174278227e-09,0,6.87967626122688e-09,-5.45740652269521,-5.4108123712972,0,0.0185442084052935
7,17.1,push,frictionless-contact,160.826581206444,160.5,0.00126635231296924,0,-0.000538501924535345,0,0.00936460378516376,0,2.79694684747685e-09,0,-5.02936445559174e-09,-8.41631708971608,-8.38613321161106,0,0.0340640423473359
8,20,push,frictionless-contact,158.687678774447,158.5,0.000732881296614727,0,-0.000792070752204502,0,0.00721765936832894,0,6.25260036007979e-08,0,-6.68156835957559e-08,-10.8624990617268,-10.8570861242901,0,0.0322960190178034
9,20.02,slide,sticking-contact,158.297084680444,158,0.00152448136103767,-0.0225619896608506,-0.0094744830561924,0,0.00166931598821234,2.72985040695303e-16,0.000107181004084331,0,-0.000112150378356128,-11.0131556272917,-10.9757232906775,0,0.0439256413476127
10,21.36,slide,sticking-contact,158.475791736681,158.5,0.000201307146898285,2.53302598164436,2.5330195888883,0,-0.000725312282953798,-1.43038888305827e-16,-1.20558275922319e-06,0,1.25378444058856e-06,-5.623155806326,-5.62552689992512,0,-0.00121808471975455
11,22.68,slide,sliding-contact,158.495522345808,158.5,0.000199340246951372,2.67116747414497,2.67070860872532,0,0.000451068864407952,0,-8.31528178513871e-07,0,5.7706469739698e-07,-5.34233494828994,-5.341428290476,0,-0.00101717599971133
12,24.02,slide,sliding-contact,158.498531421538,158.5,0.000198527011513607,2.67116747414497,2.6707993109117,0,0.000398513670943809,0,-1.36965657753564e-08,0,5.40618872290227e-08,-5.34233494828995,-5.34160192782104,0,-0.000619246731560706
13,25.34,slide,sliding-contact,158.498995771198,158.5,0.000198383083984901,2.67116747414497,2.67085076054436,0,0.000347920901842328,0,1.19378437034003e-07,0,9.05561863297874e-07,-5.34233494828994,-5.34170341100594,0,-0.000506074181744585
14,26.68,slide,sliding-contact,158.499219110197,158.5,0.000197879152853122,2.67116747414497,2.67089170255188,0,0.000304537649815712,0,-3.66254481660184e-08,0,-2.22869991112767e-07,-5.34233494828994,-5.34178468914101,0,-0.000429441323463985
15,28,slide,sliding-contact,158.499240255911,158.5,0.000198538398342413,2.67116747414497,2.67089656073294,0,0.000299221189091532,0,-6.86041819759852e-08,0,8.23906855043823e-08,-5.34233494828994,-5.34179464141955,0,-0.000421253320747318
16,29.34,slide,sliding-contact,158.499238628675,158.5,0.000199336728546983,2.67116747414497,2.67090034471471,0,0.000295238884424723,0,4.52590038592757e-08,0,3.70800604124486e-07,-5.34233494828994,-5.34180264235587,0,-0.000416223664932158
17,30.66,slide,sliding-contact,158.499248661189,158.5,0.000198646594232818,2.67116747414497,2.67090061588836,0,0.000294764983499338,0,2.70877247034396e-08,0,2.17835157270299e-08,-5.34233494828994,-5.34180288093904,0,-0.000414871674249527
18,32,slide,sliding-contact,158.499264654686,158.5,0.000199785302942545,2.67116747414497,2.67091126991633,0,0.000281645010112142,0,-7.17253304001696e-07,0,-1.34983698958761e-07,-5.34233494828995,-5.34182491878682,0,-0.000400092182142361
