frame,path_mm,phase,mode,estimated_contact_s_mm,true_contact_s_mm,shape_rmse_mm,true_contact_x_N,estimated_contact_x_N,true_tip_x_N,estimated_tip_x_N,true_contact_y_N,estimated_contact_y_N,true_tip_y_N,estimated_tip_y_N,true_contact_z_N,estimated_contact_z_N,true_tip_z_N,estimated_tip_z_N
1,0,push,no-contact,149.965457322265,NaN,0.0054121787215915,0,0,2,1.98109220795548,0,0,0,-1.5725851157748e-09,0,0,-1,-1.00615865729465
2,5,push,no-contact,149.965596374729,NaN,0.00156863089818209,0,0,2,1.99989128308595,0,0,0,-0.000645716011574338,0,0,-1,-1.00004294401032
3,10,push,frictionless-contact,149.999077621991,150,2.3553685071833e-05,-3.79690768748426,-3.78608753917686,2,1.98913124730286,0,-4.94839663906771e-07,0,4.35285369673035e-07,0,-3.19758736861704e-07,-1,-0.999992240584097
4,15,push,frictionless-contact,146.573786932192,146.247719298246,0.00128033094294143,-8.5945461032337,-9.14227163343051,2,2.57559670464191,0,1.1355579839429e-09,0,-1.67019541791147e-08,0,-6.84197892361003e-05,-1,-0.994638855326553
5,20,push,frictionless-contact,142.158261968114,141.959398496241,0.000371187459678291,-12.9724235553192,-13.1459136100585,2,2.20851554342351,0,1.42448801960688e-06,0,-1.30775571669286e-06,0,4.63176000174573e-05,-1,-0.991615560938373
6,25,push,frictionless-contact,138.878861933988,138.743157894737,0.00023931624615608,-16.6429667848912,-16.7949441906492,2,2.16753559220373,0,3.14195349116527e-06,0,-2.83605981473305e-06,0,8.45066734599674e-07,-1,-0.995427669648158
7,30,push,frictionless-contact,135.582851198898,135.526917293233,0.000200473777965702,-20.0239008580545,-20.0531940140257,2,2.04616286124809,0,8.84553375305167e-08,0,-8.58477344144797e-08,0,5.82075091484969e-05,-1,-0.994264484472867
8,35,push,frictionless-contact,132.358719521694,132.310676691729,0.000460278155697645,-23.2464255161945,-23.2833667428596,2,2.0476778389857,0,-1.98087458345084e-07,0,1.7891401468935e-07,0,0.000122120281340519,-1,-0.995924572390655
9,40,push,frictionless-contact,129.658674884906,129.630476190476,0.00294846784579684,-26.1421407048858,-26.1461633402451,2,2.01503122692366,0,1.79303872921324e-07,0,-1.28868989875309e-07,0,-0.000134739193003722,-1,-0.994934420703285
10,45,push,frictionless-contact,126.970082275329,126.950275689223,0.00160137589681326,-29.0082470323807,-29.0171423853944,2,2.01630459448225,0,2.02929552787107e-07,0,-1.72457485475813e-07,0,0.000231121151666077,-1,-0.996268368046246
11,45.02,slide,sticking-contact,126.957289727741,126.950275689223,0.00151117668923727,-29.1350234274164,-29.1418903588437,2,2.00826552976629,-5.53864554081131e-16,9.72697309715479e-06,0,-8.39416384974819e-06,-0.173206939959784,-0.172593920120751,-1,-0.99961298662212
12,45.16,slide,sticking-contact,126.419837525509,126.414235588972,0.00192275762709866,-30.7707174310974,-30.6967443047904,2,1.93489056996429,-8.10052121709187e-17,5.71863457125509e-05,0,-4.91815312236678e-05,-1.54422653606384,-1.70478833554574,-1,-0.833777260301147
13,45.3,slide,sticking-contact,126.405654979984,126.414235588972,0.00142581820183421,-31.8236741845045,-31.759385933416,2,1.93636403826322,1.54899200467341e-15,2.99799174818577e-05,0,-2.57850695020773e-05,-2.61350630910534,-2.74835646058053,-1,-0.864090631790879
14,45.44,slide,sticking-contact,126.40516388906,126.414235588972,0.00146574418349567,-32.8585796125058,-32.8012742681469,2,1.94286826116719,5.46432659096248e-15,2.98654539212609e-05,0,-2.56955821882339e-05,-3.66206645326928,-3.77690087097935,-1,-0.884387319015508
15,45.58,slide,sticking-contact,126.406259614924,126.414235588972,0.00150312081648084,-33.8788814121581,-33.8279442028271,2,1.94925740831956,1.60640009972725e-15,-1.51714920853169e-05,0,1.3060920451718e-05,-4.69442431169692,-4.79451113293298,-1,-0.899187106415147
16,45.72,slide,sticking-contact,126.407133149664,126.414235588972,0.00151583057861315,-34.8849857685171,-34.8389645204714,2,1.95420350422859,7.34466961433865e-16,-2.7599020204272e-06,0,2.37589103422433e-06,-5.71098990751447,-5.79983063820152,-1,-0.91041299055891
17,45.86,slide,sticking-contact,126.410312589508,126.414235588972,0.00153116452338607,-35.8772838440245,-35.8499705012851,2,1.97238258847722,-3.63572095997884e-15,0.000197846135020569,0,-0.000170477393630219,-6.71215838415705,-6.76643041176701,-1,-0.945404035663068
18,46,slide,sticking-contact,125.887101475837,125.878195488722,0.00218581500958465,-37.5790080909156,-37.5589188159589,2,1.98759096948252,-2.97441136801759e-15,0.000212556878399607,0,-0.000182529964159102,-8.05360653735349,-8.09510844797676,-1,-0.953273123998646
