frame,path_mm,phase,mode,estimated_contact_s_mm,true_contact_s_mm,shape_rmse_mm,true_contact_x_N,estimated_contact_x_N,true_tip_x_N,estimated_tip_x_N,true_contact_y_N,estimated_contact_y_N,true_tip_y_N,estimated_tip_y_N,true_contact_z_N,estimated_contact_z_N,true_tip_z_N,estimated_tip_z_N
1,0,push,no-contact,150,NaN,0.00166891517003742,0,0,0,0,0,0,0,0,0,0,0,0
2,5,push,no-contact,150,NaN,0.00166891517001278,0,0,0,0,0,0,0,0,0,0,0,0
3,10,push,no-contact,150,NaN,0.00166891517001258,0,0,0,0,0,0,0,0,0,0,0,0
4,15,push,frictionless-contact,146.397378438071,146.247719298246,0.00198505531107834,0,0.000498406491724428,0,-0.00403370354266175,0,-0.000103713492132004,0,0.000139686835625119,-4.74819538006301,-4.81502962530276,0,0.0831655715707113
5,20,push,frictionless-contact,142.190938947389,141.959398496241,0.00197595224768889,0,0.000120897416570265,0,-0.011096421129068,0,-1.27503522241313e-05,0,1.19257233733581e-05,-9.07761944468689,-9.1464028736958,0,0.113646383225227
6,25,push,frictionless-contact,138.915848736573,138.743157894737,0.00179473907928624,0,7.62653086732204e-05,0,-0.00603282296591822,0,1.1671428873542e-06,0,-3.27683042230403e-06,-12.8049063151246,-12.9385649946782,0,0.153509146191045
7,30,push,frictionless-contact,135.605841679834,135.526917293233,0.00183781557764253,0,-2.72587730217088e-05,0,-0.00711593329187362,0,-1.29797150891857e-06,0,6.94392235229577e-07,-16.2368559020319,-16.2665616614066,0,0.0503411199261908
8,35,push,frictionless-contact,132.376536238613,132.310676691729,0.00156054954509703,0,-0.000108134006387072,0,-0.00463775033506715,0,2.02929557188138e-05,0,-1.8843965444858e-05,-19.5037517853748,-19.5465060710649,0,0.0549836047970674
9,40,push,frictionless-contact,129.666816143592,129.630476190476,0.00266864543269239,0,-7.26516579075823e-05,0,-0.00533269286238294,0,-3.56076479518277e-06,0,2.99613392997171e-06,-22.4753420098656,-22.4812505979372,0,0.0182451958357382
10,45,push,frictionless-contact,126.975840371145,126.950275689223,0.00272607931703113,0,-0.000326561784168152,0,-0.0036672373380299,0,-5.33955981739222e-05,0,4.70346125865687e-05,-25.4095119733235,-25.4197712386735,0,0.0184166423358894
11,45.02,slide,sticking-contact,126.959323725305,126.950275689223,0.00281959525766332,0.174080050299685,0.17447877157831,0,-0.00182127608829105,1.01343481825384e-15,-5.38073475191155e-06,0,4.64591295366052e-06,-25.5419753312059,-25.5488323352187,0,0.00828618503453988
12,45.16,slide,sticking-contact,126.439340653955,126.414235588972,0.0026183318299163,1.53098012121615,1.52798047158072,0,-0.00320827120898678,1.26939686957418e-16,-6.0218526429741e-06,0,5.18109128209919e-06,-27.1277032460692,-27.1329058700629,0,0.0161919370338105
13,45.3,slide,sticking-contact,126.418089949069,126.414235588972,0.00267814759006798,2.60920560485142,2.60683614253426,0,0.00130450836149582,4.02475640800349e-16,7.09697014557762e-07,0,-6.10789116939499e-07,-28.1909836033279,-28.1949804504376,0,0.00467186402914781
14,45.44,slide,sticking-contact,126.414894987007,126.414235588972,0.00269284105536545,3.67053707319817,3.66798500106808,0,0.00166697307862421,1.11383117119102e-15,3.06268965512292e-08,0,-2.63626037262612e-08,-29.2389624630437,-29.2397325938908,0,0.00110335672891915
15,45.58,slide,sticking-contact,126.414040231035,126.414235588972,0.00270119451006077,4.71540844174028,4.71350339230212,0,0.00105312250281398,-1.38641521016291e-15,-1.37013288800338e-06,0,1.1800906939933e-06,-30.2720701624285,-30.2715727087389,0,-0.00022052757546079
16,45.72,slide,sticking-contact,126.414240629557,126.414235588972,0.00261076248371318,5.74423790491942,5.74274438165657,0,0.000451028280276414,-4.83985276758754e-15,-7.34991010263951e-06,0,6.33329213381435e-06,-31.2907213485125,-31.2900830133493,0,-0.000158465069866068
17,45.86,slide,sticking-contact,126.414237626002,126.414235588972,0.00253734763841183,6.75742842971215,6.75627575135456,0,0.000188194319711899,1.66209128308195e-15,-3.30820763693696e-05,0,2.85169386555085e-05,-32.2953152822032,-32.2946455822224,0,-0.00026561211653103
18,46,slide,sticking-contact,125.893436855168,125.878195488722,0.00193461125653055,8.0862378356215,8.08116116359625,0,0.000298896117456121,-1.50798028658689e-15,-7.54736907723866e-06,0,6.48318574489153e-06,-33.9467038778092,-33.9502682044154,0,0.0122608094993853
