frame,path_mm,phase,mode,estimated_contact_s_mm,true_contact_s_mm,shape_rmse_mm,true_contact_x_N,estimated_contact_x_N,true_tip_x_N,estimated_tip_x_N,true_contact_y_N,estimated_contact_y_N,true_tip_y_N,estimated_tip_y_N,true_contact_z_N,estimated_contact_z_N,true_tip_z_N,estimated_tip_z_N
1,0,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.9,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5.7,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.6,push,no-contact,167,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11.4,push,frictionless-contact,166.456733426693,166,0.000999048199674567,0,-0.000408197916169274,0,0.00106706985884911,0,2.61901041760379e-08,0,-3.47249081267971e-07,-1.70442040468773,-1.70976609858684,0,0.0175573094266838
6,14.3,push,frictionless-contact,163.513597421548,163,0.00108275480174845,0,-0.000828686334194959,0,0.0101277087693604,0,4.81626634214464e-06,0,-6.82045442710423e-05,-5.45740652269521,-5.39994787448369,0,0.0238348032004894
7,17.1,push,frictionless-contact,160.850002779391,160.5,0.0013924864195727,0,-0.000566932395787562,0,0.00920828172438638,0,3.65409181025595e-08,0,-2.73379536023203e-07,-8.41631708971608,-8.39085323495117,0,0.0396003303466303
8,20,push,frictionless-contact,158.699066056855,158.5,0.000848641928596886,0,-0.000843805020681628,0,0.00666200591385028,0,4.36386597095987e-06,0,-3.67510100643764e-06,-10.8624990617268,-10.8647129466642,0,0.0379659323392757
9,20.02,slide,sticking-contact,158.300254957125,158,0.00150066887044372,-0.0225619896608506,-0.0116233325181964,0,0.00424765309010075,2.72985040695303e-16,1.88553251699538e-07,0,-1.9734300265973e-07,-11.0131556272917,-10.9726295485738,0,0.0422789431035234
10,21.36,slide,sticking-contact,157.518200223567,158.5,0.0149315153694256,2.53302598164436,0.128132428788072,0,2.57704283172481,-1.43038888305827e-16,0.0169752743640506,0,-0.0176565195248417,-5.623155806326,-1.93137057072024,0,-2.84796576900208
11,22.68,slide,sliding-contact,158.471840334181,158.5,0.101142183633978,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828994,-0.187987911179465,0,-3.52466959802877
12,24.02,slide,sliding-contact,158.471840334181,158.5,0.101142183633991,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828995,-0.187987911179465,0,-3.52466959802877
13,25.34,slide,sliding-contact,158.471840334181,158.5,0.101142183633983,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828994,-0.187987911179465,0,-3.52466959802877
14,26.68,slide,sliding-contact,158.471840334181,158.5,0.101142183633978,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828994,-0.187987911179465,0,-3.52466959802877
15,28,slide,sliding-contact,158.471840334181,158.5,0.101142183633973,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828994,-0.187987911179465,0,-3.52466959802877
16,29.34,slide,sliding-contact,158.471840334181,158.5,0.101142183633979,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828994,-0.187987911179465,0,-3.52466959802877
17,30.66,slide,sliding-contact,158.471840334181,158.5,0.101142183633972,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828994,-0.187987911179465,0,-3.52466959802877
18,32,slide,sliding-contact,158.471840334181,158.5,0.101142183633967,2.67116747414497,0.0945532965755339,0,2.9271568539348,0,-0.000322946590692314,0,0.00616177186762296,-5.34233494828995,-0.187987911179465,0,-3.52466959802877
