frame,insertion_mm,phase,friction_mu,tip_x_mm,tip_y_mm,tip_z_mm,plane_x_measured_mm,plane_y_measured_mm,plane_z_measured_mm,true_contact_s_mm,estimated_contact_s_mm,true_contact_Fx_N,true_contact_Fy_N,true_contact_Fz_N,true_normal_Fx_N,true_normal_Fy_N,true_normal_Fz_N,true_friction_Fx_N,true_friction_Fy_N,true_friction_Fz_N,forward_friction_cone_slack_N,forward_friction_w_min_mm,forward_friction_complementarity,forward_friction_dissipation_Nmm,forward_friction_cone_violation_N,forward_tangential_displacement_mm,forward_friction_direction_violation_Nmm,ours_contact_Fx_N,ours_contact_Fy_N,ours_contact_Fz_N,ours_normal_Fx_N,ours_normal_Fy_N,ours_normal_Fz_N,ours_friction_Fx_N,ours_friction_Fy_N,ours_friction_Fz_N,ours_friction_w_min_mm,ours_friction_cone_violation_N,true_tip_Fx_N,true_tip_Fy_N,true_tip_Fz_N,ours_tip_Fx_N,ours_tip_Fy_N,ours_tip_Fz_N,seed_contact_s_mm,seed_contact_Fx_N,seed_contact_Fy_N,seed_contact_Fz_N,seed_tip_Fx_N,seed_tip_Fy_N,seed_tip_Fz_N,true_total_Fx_N,true_total_Fy_N,true_total_Fz_N,ours_total_Fx_N,ours_total_Fy_N,ours_total_Fz_N,aloi_total_Fx_N,aloi_total_Fy_N,aloi_total_Fz_N,aloi_center_s_mm,aloi_sigma_mm,aloi_shape_rmse_mm,aloi_equilibrium_residual_mm,aloi_solver_exit_flag,aloi_solver_iterations,aloi_contact_location_error_mm,true_contact_local_Fx_N,true_contact_local_Fy_N,true_contact_local_Fz_axial_N,true_contact_local_axial_fraction_pct,aloi_within_transverse_load_assumption,ours_contact_error_norm_N,ours_tip_error_norm_N,ours_total_error_norm_N,aloi_total_error_norm_N,ours_gap_mm,ours_friction_cone_slack_N,ours_normal_complementarity,ours_friction_complementarity,ours_cone_complementarity,ours_measurement_residual_norm,ours_shape_rmse_mm,seed_measurement_residual_norm,seed_normal_complementarity,seed_friction_complementarity,seed_cone_complementarity,seed_merit,final_merit,initialization_name,initialization_merit,initialization_residual_norm
1,0,push,0,9.97669499428333,0,41.9455499667583,20,0,0,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,-0.00122855152062446,0,0,-0.00121184395110146,0,-0.000333157865840521,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,10.0233050057167,0,0,0,0,0,0.00166891517003077,0.0107035012357135,0.0123163209520504,0,0,18.7642021085777,0,prior,0,0
2,5,push,0,14.9766949942833,0,41.9455499667583,20,0,0,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,-0.00122855152062446,0,0,-0.00121184395110146,0,-0.000333157865840522,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5.02330500571669,0,0,0,0,0,0.00166891517002955,0.0107035012357135,0.0061735633489281,0,0,7.40631434036128,0,prior,0,0
3,10,push,0,19.9766949942833,0,41.9455499667583,20,0,0,NaN,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,-0.00122855152062446,0,0,-0.00121184395110146,0,-0.000333157865840524,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0.0233050057166793,0,0,0,0,0,0.00166891517003684,0.0107035012357135,3.08057458057641e-05,0,0,3.5951207909765,0,prior,0,0
4,15,push,0,19.8003435397598,0,50.5004539158233,20,0,0,146.247719298246,146.247719298246,-4.74819538006307,0,0,-4.74819538006307,0,0,0,0,0,0,0,0,0,0,0.164484160938393,0,-4.72751713156526,9.62566168966172e-05,0.000887820929253898,-4.72751713156526,9.62566168966172e-05,0.000887820929253898,0,0,0,0,0,0,0,0,-0.0127168700115954,-9.11694789281862e-05,-0.0017543972447378,147.855839598997,-2.90978505994261,0,0,-0.433465471239989,0,0.483555035202085,-4.74819538006307,0,0,-4.74023400157686,5.08713796843103e-06,-0.000866576315483901,-4.71792673983152,4.66159271017216e-29,-0.000897637783582527,147.444115136677,3.00031741513531,0.00018609843395718,3.67863530680775e-05,3,8,1.19639583843102,4.748186766829,0,-0.00904403462320408,0.190473093444692,1,0.0206975228536103,0.0128376401436574,0.00800840357313628,0.0302819473458587,-6.26235174827627e-16,0,2.96053757020661e-15,0,0,0.0265555346756741,0.00442578015372867,3.25563846870887,1.35933302857827,0,0,287154.65584075,0.0118367797765493,reduced_seed,5.31559157105802,3.2561621280466
5,20,push,0,19.1025542786984,0,58.5409109765682,20,0,0,141.959398496241,141.959398496241,-9.07761944468679,0,0,-9.07761944468679,0,0,0,0,0,0,0,0,0,0,0.15283366117448,0,-9.12329607989064,9.98932829439478e-06,0.000144491189210159,-9.12329607989064,9.98932829439478e-06,0.000144491189210159,0,0,0,0,0,0,0,0,0.0898227523638242,-9.06063321582963e-06,0.0106532309771092,143.031478696742,-8.10369996168093,0,0,-0.116714093773267,-5.18338014938387e-05,0.12560385013615,-9.07761944468679,0,0,-9.03347332752681,9.2869507856515e-07,0.0107977221663194,-8.97027110044061,-4.54707750795283e-48,0.0137133924607881,142.311207049258,3.00000000006724,0.0010270237004331,5.36394489027706e-05,3,10,0.351808553017719,9.07730957656916,0,-0.0750042244253435,0.826254337740983,1,0.0456768648336963,0.0904522982270744,0.0454474472896547,0.108220719574305,-1.45955296459999e-15,0,1.33159338420058e-14,0,0,0.0523502336056313,0.00196744248974273,2.82193193563528,4.03332261061016,0,0,1795121.60567971,0.0400409058226701,reduced_seed,4.01339476665866,2.82261766058098
6,25,push,0,18.0586872668573,0,65.8525159512566,20,0,0,138.743157894737,138.743157894737,-12.8049063151247,0,0,-12.8049063151247,0,0,0,0,0,0,0,0,0,0,0.138751604206441,0,-12.9305007078766,2.31567292060433e-06,-3.61026355568126e-05,-12.9305007078766,2.31567292060433e-06,-3.61026355568126e-05,0,0,0,0,0,0,0,0,0.145516139196996,-1.63092246556297e-06,0.0059882415442348,139.279197994987,-12.1183641898253,0,0,0.0328077404970323,-6.74421149642114e-06,0.0709934739140502,-12.8049063151247,0,0,-12.7849845686796,6.84750455041362e-07,0.00595213890867798,-12.768638076939,-4.9346548060744e-23,-0.00262840969965283,138.785226995102,3.00000000008321,0.000623825117041398,3.11128644578045e-05,3,21,0.0420691003652962,12.8049054875984,0,0.00460356295991451,0.035951555182227,1,0.125594397962203,0.145639300349362,0.0207919200527187,0.0363633557120287,-1.73193165538266e-15,0,2.2394743496007e-14,0,0,0.0396283870202505,0.0017886447835765,3.24180269375666,7.30340686878292,0,0,5563316.69774814,0.0265756888081444,reduced_seed,5.2876195968026,3.24267789479163
7,30,push,0,16.7750558979883,0,72.4472524204744,20,0,0,135.526917293233,135.526917293233,-16.2368559020319,0,0,-16.2368559020319,0,0,0,0,0,0,0,0,0,0,0.12666732031531,0,-16.2651202073274,1.52580743289876e-05,2.89337106908042e-05,-16.2651202073274,1.52580743289876e-05,2.89337106908042e-05,0,0,0,0,0,0,0,0,0.0492274501068681,-1.37146083575999e-05,0.00725863545592807,136.062957393484,-15.5270293043478,0,0,0.100003605216907,-1.36234662780363e-06,0.0478147003216569,-16.2368559020319,0,0,-16.2158927572205,1.5434659713877e-06,0.00728756916661887,-16.1805460383953,-1.70667898302776e-36,0.00471312691594275,135.583138025465,3.00390061794023,0.00111309299901575,4.51474196258814e-05,0,36,0.0562207322314237,16.236824420712,0,-0.031973650402955,0.196920207926177,1,0.0282643242234116,0.0497597208673514,0.022193740268883,0.0565067633836782,-1.27151165030953e-15,0,2.06812898373436e-14,0,0,0.0332793086681592,0.00184373166853737,4.16437128424435,12.4475742760804,0,0,15877426.4492563,0.0268824532248373,reduced_seed,8.71474502927656,4.1655767931949
8,35,push,0,15.3216634439475,0,78.3633764707594,20,0,0,132.310676691729,132.310676691729,-19.5037517853747,0,0,-19.5037517853747,0,0,0,0,0,0,0,0,0,0,0.116232542919182,0,-19.5465588394851,4.58982994092346e-05,0.000185900935548331,-19.5465588394851,4.58982994092346e-05,0.000185900935548331,0,0,0,0,0,0,0,0,0.0549975075328304,-4.39091501585701e-05,0.00453430134473523,133.382756892231,-18.3890604454885,0,0,0.0125951462601845,-1.21502105702843e-05,0.0381047161501428,-19.5037517853747,0,0,-19.4915613319522,1.98914925066453e-06,0.00472020228028356,-19.3203521514303,5.58497587621922e-81,0.0587535977090105,132.525192525388,3.00000000000003,0.00289127439769835,2.97213495086237e-05,3,26,0.214515833658339,19.5025580321713,0,-0.215786717156276,1.106385681744,1,0.0428074823765282,0.0551841249955282,0.013072393360422,0.192580920588504,1.69081328799114e-15,0,3.3049581421888e-14,0,0,0.0299425100791393,0.00154316279813327,5.00350859436681,17.6882902145858,0,0,31813060.4903616,0.0264706962693244,reduced_seed,12.5652740504937,5.00495305372318
9,40,push,0,13.7163323988037,0,83.6144748979887,20,0,0,129.630476190476,129.630476190476,-22.4753420098656,0,0,-22.4753420098656,0,0,0,0,0,0,0,0,0,0,0.105784276246048,0,-22.4810207114007,1.19852282972572e-05,-1.8941656700753e-05,-22.4810207114007,1.19852282972572e-05,-1.8941656700753e-05,0,0,0,0,0,0,0,0,0.0180489864534978,1.78394289123392e-05,0.00595746011653608,130.702556390977,-21.2861646511524,0,0,0.0243690965173647,-4.02451317302238e-05,0.0270430666930175,-22.4753420098656,0,0,-22.4629717249472,2.98246572095964e-05,0.00593851845983533,-22.38219270706,5.58028177083279e-105,0.0281631064115534,129.699862829854,3.00000000000002,0.00225202694442225,3.56208257130649e-05,3,5,0.0693866393775693,22.4750239980506,0,-0.119560643507268,0.531963622421348,1,0.0056787457732287,0.0190067767199989,0.0137219109445424,0.097313684422691,1.6436572697516e-15,0,3.69510931237484e-14,0,0,0.0322519838732471,0.00394241078766086,5.58701469468373,23.3636526566266,0,0,55196954.5852123,0.01892572592866,reduced_seed,15.6610976121801,5.58869904105373
10,45,push,0,11.9941405143891,0,88.2826600984409,20,0,0,126.950275689223,126.950275689223,-25.4095119733235,0,0,-25.4095119733235,0,0,0,0,0,0,0,0,0,0,0.0966021748541834,0,-25.4209552619975,0.000167398556362531,0.000398114697178742,-25.4209552619975,0.000167398556362531,0.000398114697178742,0,0,0,0,0,0,0,0,0.0194014065033659,-0.000151541980858873,0.00355426683265355,128.022355889724,-24.0281687523614,0,0,-0.0101169467373119,1.67043667907991e-05,0.0237492125638759,-25.4095119733235,0,0,-25.4015538554942,1.58565755036578e-05,0.00395238152983229,-25.4099471557348,-8.99417346407727e-128,-0.0144764098296224,126.90622323327,3.00000000000002,0.00162320411941265,4.11022908412486e-05,3,5,0.0440524559527518,25.4095081964263,0,-0.013854176862824,0.0545235850155994,1,0.0114514354238117,0.019724866336645,0.00888556191662131,0.0144829494677792,7.91901266783412e-16,0,2.01308866777255e-14,0,0,0.0183892841576476,0.00270958004562488,6.54637383669415,31.2680406949239,0,0,98536481.0895648,0.0185225553521724,reduced_seed,21.5007965400291,6.54839444530074
11,45.02,slide,0.5,11.988865150633,-2.05269303991177e-15,88.2789872535529,20,0,0,126.950275689223,126.950275689223,-25.5419753312041,-5.48187055224373e-16,-0.174080050297943,-25.5419753312041,0,0,0,-5.48187055224373e-16,-0.174080050297943,12.5969076153041,-1.75293852795038e-15,9.79801540059331e-31,9.60938209626468e-31,0,1.75293852795038e-15,9.60938209626468e-31,-25.5492969352529,1.49788449307355e-05,-0.174310329241909,-25.5492950609398,9.9094398449601e-05,0.000274245545467674,-1.8743130567306e-06,-8.41155535188655e-05,-0.174584574787376,-3.26244048338313e-12,0,0,0,0,0.00879569494660967,-1.29333325937505e-05,0.00168602055246335,126.950275689223,-25.4316213063414,0.000159711827352063,-0.0360901266354787,0.0188943446348301,-0.000150236401882485,0.0033169958067272,-25.5419753312041,-5.48187055224373e-16,-0.174080050297943,-25.5405012403062,2.04551233698496e-06,-0.172624308689445,-25.4486661444702,-4.32234665104338e-16,-0.105064801984952,127.012288273611,3.00000001498908,0.00287991878692971,4.1252252649736e-05,1,6,0.0620125843884125,25.5419359429148,8.71614724485126e-16,-0.179766436761142,0.703791541054004,1,0.00732523983253879,0.0089558406734508,0.0020717460727715,0.116059074736319,8.83733190792935e-16,12.4416388818921,2.25787600481851e-14,2.70773840888658e-13,0,0.00898159027971188,0.00282201165516772,0.325833790589774,0.131715504429907,0.228432626778283,160.539324930868,2577294440.74686,0.000125212985342334,reduced_seed,0.0519913910953093,0.322165440275249
12,45.16,slide,0.5,11.9489119090081,7.55523909074939e-15,88.2554631456916,20,0,0,126.414235588972,126.414235588972,-27.1277032460695,3.54981939873985e-15,-1.53098012121652,-27.1277032460695,0,0,0,3.54981939873985e-15,-1.53098012121652,12.0328715018183,-2.48005853344732e-14,3.26348041117052e-14,-3.26348041117053e-14,0,2.51490115470254e-14,0,-27.1329812787654,1.10336742656089e-06,-1.52782595659587,-27.1329749937003,2.73827759354436e-05,0.000111609136960014,-6.28506504292192e-06,-2.62794085088827e-05,-1.52793756573283,-3.36646525465157e-14,0,0,0,0,0.0162337938014912,-9.49031023663046e-07,0.00306040784894007,126.950275689223,-25.6440125406536,-0.000431167358383641,-0.306360399807192,0.00600468211144376,1.03498185911623e-05,0.000787159668438518,-27.1277032460695,3.54981939873985e-15,-1.53098012121652,-27.1167474849639,1.54336402897847e-07,-1.52476554874693,-25.7480429396346,4.64651527123523e-16,-0.783760685872757,127.782539716835,3.00000000000085,0.0200274435298455,4.23180798577044e-05,3,9,1.36830412786301,27.103733789124,-4.35689859470918e-15,-1.90887354915744,7.02544136471012,0,0.00614868968234601,0.016519750551744,0.0125956187782812,1.5690122516117,6.41630845676922e-16,10.9539896808075,1.74093536910949e-14,2.54445303174807e-14,0,0.0200706543248869,0.00262288011950727,2.25514434317645,2.17947043298872,1.9676760707336,153.168855590595,2346932741.24511,0.00583954547396196,reduced_seed,2.53926073637755,2.25322594830034
13,45.3,slide,0.5,11.8905284844917,5.52843346293272e-15,88.2260652362552,20,0,0,126.414235588972,126.414235588972,-28.1909836033281,4.78458951588504e-16,-2.60920560485161,-28.1909836033281,0,0,0,4.78458951588504e-16,-2.60920560485161,-2.66453525910038e-14,-8.98023995872652e-15,2.45764539270672e-13,5.56185626589555e-14,2.66453525910038e-14,2.13163524534185e-14,5.56185626589555e-14,-28.1950723971749,8.78181823989651e-08,-2.60669634051976,-28.1950684943033,1.76973105296888e-06,4.2214333178388e-05,-3.90287162672715e-06,-1.68191287056991e-06,-2.60673855485294,-5.45197031843668e-11,0,0,0,0,0.00476453169506309,-7.5560157167499e-08,-0.0014512483116955,126.950275689223,-27.1602277189265,0.000885126059723779,-1.81825382570283,0.0152432664485664,-4.68677179259282e-05,0.00236844167055773,-28.1909836033281,4.78458951588504e-16,-2.60920560485161,-28.1903078654799,1.22580252314661e-08,-2.60814758883145,-26.0600264319324,-2.53671661379684e-16,-1.46901118983243,128.523206174946,3.00000000000004,0.0305362657270087,4.32733815689127e-05,3,9,2.10897058597348,28.1598872169243,-1.97078794083238e-15,-2.92579260057927,10.334300118672,0,0.00479735787875771,0.00498065095556486,0.00125539616797027,2.41682059126521,-3.93091050161776e-16,10.6879456783702,1.10832290838213e-14,6.29540534723854e-11,0,0.00616175167811211,0.00267688695429982,1.37184725720279,0.60840476033689,10.5677961759631,119.383538747651,1436447830.78258,0.000485003718148644,reduced_seed,0.919062237996844,1.35233236143211
14,45.44,slide,0.5,11.8327018101741,-3.76039868748291e-15,88.1967572919522,20,0,0,126.414235588972,126.414235588972,-29.2389624630444,-1.66642286871259e-15,-3.67053707319895,-29.2389624630444,0,0,0,-1.66642286871259e-15,-3.67053707319895,8.13963670673309,-6.27535665081557e-15,2.30339292343641e-14,1.04573978322467e-29,0,6.27535665081557e-15,1.04573978322467e-29,-29.239778514556,2.95519383624136e-07,-3.66783499989477,-29.2397756413892,9.5128605706916e-07,2.29045824533635e-05,-2.87316686196535e-06,-6.55766673445024e-07,-3.66785790447722,-1.40133146192855e-13,0,0,0,0,0.00115533380956531,-2.54419365935303e-07,-0.00181465260626134,126.414235588972,-28.2883689818294,0.000114800965387628,-2.73646221930926,0.00169709823408862,-5.97752489327919e-06,-0.00241428030738066,-29.2389624630444,-1.66642286871259e-15,-3.67053707319895,-29.2386231807465,4.11000176888322e-08,-3.66964965250103,-26.3763506400565,1.82038361349116e-16,-2.14997403776397,129.226172993844,3.0000000000001,0.0410451186015446,4.40893198263715e-05,3,8,2.8119374048714,29.206474727773,2.21910741394354e-15,-3.92066350213922,13.3046122171865,0,0.0028226123180696,0.00215122299115293,0.000950067352608282,3.24139759885171,-2.47428488288348e-16,9.37527619942885,7.23475348484161e-15,2.34854100213145e-13,0,0.00535366882327252,0.00269261530313383,2.06650738452939,2.40577926276936,14.6025615195673,113.331113027601,1306297101.11276,0.000445671024917665,reduced_seed,2.14267561285761,2.06969733271198
15,45.58,slide,0.5,11.775423510077,-4.11970798586124e-15,88.1675394558716,20,0,0,126.414235588972,126.414235588972,-30.2720701624267,-8.02357882689354e-16,-4.71540844173835,-30.2720701624267,0,0,0,-8.02357882689354e-16,-4.71540844173835,1.10134124042816e-13,-1.49867339303467e-13,6.40131234778147e-13,-7.70614819316379e-13,0,1.63443988710371e-13,0,-30.2715993364111,1.2626115474048e-06,-4.71355806842717,-30.2715974201975,9.41806931897619e-07,1.23063499524689e-05,-1.91621358629586e-06,3.20804615507179e-07,-4.71357037477712,-3.08433189857353e-14,0,0,0,0,-0.000209280523322914,-1.08748570650011e-06,-0.00100730125789063,126.414235588972,-29.3349903644312,-0.000281147265592748,-3.8026578590224,-0.00194680259774619,1.4189664198711e-05,-0.0027082315711184,-30.2720701624267,-8.02357882689354e-16,-4.71540844173835,-30.2718086169344,1.75125840904688e-07,-4.71456536968506,-26.69629066363,-1.73440357640059e-16,-2.82653303610647,129.893139152728,3.00000000000003,0.0515404206808939,4.4760618314721e-05,3,8,3.47890356375561,30.2436977110021,1.82925942855157e-15,-4.89408392417039,15.9743586772708,0,0.00190933499467633,0.00102881258945228,0.000882709783701136,4.04401401110527,-3.14970895502406e-16,8.6816291335635,9.53467214772873e-15,6.71259742485509e-14,0,0.00532373910664389,0.00270121244557748,2.02841801846448,2.57108179224113,18.6278704244841,88.0418814909127,810498861.712947,0.00043304588644004,reduced_seed,2.05748978562539,2.02811723127858
